put,peilbuis,subgroep,in BRO
B55A0374,1,Staatsbosbeheer (SBB),1
B55A0374,2,Staatsbosbeheer (SBB),1
B42D0542,1,Staatsbosbeheer (SBB),1
B42D0804,1,Staatsbosbeheer (SBB),1
B42D0805,1,Staatsbosbeheer (SBB),1
B42D0543,1,Staatsbosbeheer (SBB),1
B55A0371,1,Staatsbosbeheer (SBB),1
B55A0371,2,Staatsbosbeheer (SBB),1
B54E0356,1,Staatsbosbeheer (SBB),1
B54E0356,2,Staatsbosbeheer (SBB),1
B42D0547,1,Staatsbosbeheer (SBB),1
B42D0547,2,Staatsbosbeheer (SBB),1
B42D0808,1,Staatsbosbeheer (SBB),1
B42D0809,1,Staatsbosbeheer (SBB),1
B42D0544,1,Staatsbosbeheer (SBB),1
B54E0378,1,Staatsbosbeheer (SBB),1
B48F0233,1,Staatsbosbeheer (SBB),1
B48F0233,2,Staatsbosbeheer (SBB),1
B48F0233,3,Staatsbosbeheer (SBB),1
B54F0109,1,Staatsbosbeheer (SBB),1
B54F0109,2,Staatsbosbeheer (SBB),1
B54F0110,1,Staatsbosbeheer (SBB),1
B54F0110,2,Staatsbosbeheer (SBB),1
B47H0108,2,Staatsbosbeheer (SBB),0
B47H0111,1,Staatsbosbeheer (SBB),1
B54E0379,1,Staatsbosbeheer (SBB),1
B54E0380,1,Staatsbosbeheer (SBB),1
B54E0364,1,Staatsbosbeheer (SBB),1
B54E0364,2,Staatsbosbeheer (SBB),1
B54G0066,1,Staatsbosbeheer (SBB),1
B43C0391,1,Staatsbosbeheer (SBB),1
B42H0219,1,Staatsbosbeheer (SBB),1
B42H0219,2,Staatsbosbeheer (SBB),1
B43C0368,1,Staatsbosbeheer (SBB),1
B43C0389,1,Staatsbosbeheer (SBB),1
B43C0390,1,Staatsbosbeheer (SBB),1
B43C0369,1,Staatsbosbeheer (SBB),1
B43C0369,2,Staatsbosbeheer (SBB),1
B42E0334,1,Staatsbosbeheer (SBB),1
B42E0335,1,Staatsbosbeheer (SBB),1
B42E0335,2,Staatsbosbeheer (SBB),1
B42E0332,1,Staatsbosbeheer (SBB),1
B42E0341,1,Staatsbosbeheer (SBB),1
B42E0342,1,Staatsbosbeheer (SBB),1
B42E0343,1,Staatsbosbeheer (SBB),1
B42E0337,1,Staatsbosbeheer (SBB),1
B42E0337,2,Staatsbosbeheer (SBB),1
B42E0338,1,Staatsbosbeheer (SBB),1
B42E0333,1,Staatsbosbeheer (SBB),1
B42E0333,2,Staatsbosbeheer (SBB),1
B42E0336,1,Staatsbosbeheer (SBB),1
B42E0336,2,Staatsbosbeheer (SBB),1
B42D0538,1,Staatsbosbeheer (SBB),1
B43D0297,1,Staatsbosbeheer (SBB),1
B43D0297,2,Staatsbosbeheer (SBB),1
B48F0232,1,Staatsbosbeheer (SBB),1
B48F0232,2,Staatsbosbeheer (SBB),1
B48F0232,3,Staatsbosbeheer (SBB),1
B48F0234,1,Staatsbosbeheer (SBB),0
B48F0234,2,Staatsbosbeheer (SBB),0
B48F0249,1,Staatsbosbeheer (SBB),1
B48F0229,1,Staatsbosbeheer (SBB),1
B48F0229,2,Staatsbosbeheer (SBB),1
B48F0229,3,Staatsbosbeheer (SBB),1
B48E0286,1,Natuurmomumenten,1
B48E0288,1,Natuurmomumenten,1
B48E0290,1,Natuurmomumenten,1
B48E0292,1,Natuurmomumenten,1
B48E0294,1,Natuurmomumenten,1
B48G0238,1,Natuurmomumenten,1
B48G0239,1,Natuurmomumenten,1
B48G0239,2,Natuurmomumenten,1
B48G0240,1,Natuurmomumenten,1
B48G0240,2,Natuurmomumenten,1
B48G0241,1,Natuurmomumenten,1
B48G0241,2,Natuurmomumenten,1
B48G0242,1,Natuurmomumenten,1
B48G0242,2,Natuurmomumenten,1
B48H0325,1,Natuurmomumenten,1
B48H0325,2,Natuurmomumenten,1
B43C0371,1,Het Zeeuwse Landschap,1
B43C0372,1,Het Zeeuwse Landschap,1
B43C0372,2,Het Zeeuwse Landschap,1
B43C0373,1,Het Zeeuwse Landschap,1
B43C0375,1,Het Zeeuwse Landschap,1
B43C0376,1,Het Zeeuwse Landschap,1
B43C0377,1,Het Zeeuwse Landschap,1
B43C0380,1,Het Zeeuwse Landschap,1
B43C0380,2,Het Zeeuwse Landschap,1
B43C0381,1,Het Zeeuwse Landschap,1
B43C0382,1,Het Zeeuwse Landschap,1
B43C0382,2,Het Zeeuwse Landschap,1
B43C0383,1,Het Zeeuwse Landschap,1
B43C0384,1,Het Zeeuwse Landschap,1
B43C0385,1,Het Zeeuwse Landschap,1
B47H0107,1,Het Zeeuwse Landschap,1
B47H0107,2,Het Zeeuwse Landschap,1
B47H0109,1,Het Zeeuwse Landschap,1
B47H0109,2,Het Zeeuwse Landschap,1
B47H0110,1,Het Zeeuwse Landschap,1
B47H0110,2,Het Zeeuwse Landschap,1
B48A0197,1,Het Zeeuwse Landschap,1
B48A0197,2,Het Zeeuwse Landschap,1
B48A0198,1,Het Zeeuwse Landschap,1
B48A0199,1,Het Zeeuwse Landschap,1
B48A0200,1,Het Zeeuwse Landschap,1
B48A0200,2,Het Zeeuwse Landschap,1
B48B0235,1,Het Zeeuwse Landschap,1
B48B0236,1,Het Zeeuwse Landschap,1
B48B0237,1,Het Zeeuwse Landschap,1
B48B0237,2,Het Zeeuwse Landschap,1
B48B0238,1,Het Zeeuwse Landschap,1
B48B0239,1,Het Zeeuwse Landschap,1
B48B0240,1,Het Zeeuwse Landschap,1
B48B0240,2,Het Zeeuwse Landschap,1
B48B0240,3,Het Zeeuwse Landschap,1
B48B0241,1,Het Zeeuwse Landschap,1
B48B0246,1,Het Zeeuwse Landschap,1
B48C0238,1,Het Zeeuwse Landschap,1
B48C0239,1,Het Zeeuwse Landschap,1
B48C0239,2,Het Zeeuwse Landschap,1
B48C0239,3,Het Zeeuwse Landschap,1
B48C0239,4,Het Zeeuwse Landschap,1
B48C0240,1,Het Zeeuwse Landschap,1
B48C0240,2,Het Zeeuwse Landschap,1
B48E0295,1,Het Zeeuwse Landschap,1
B48F0235,1,Het Zeeuwse Landschap,1
B48F0235,2,Het Zeeuwse Landschap,1
B48F0236,1,Het Zeeuwse Landschap,1
B48F0236,2,Het Zeeuwse Landschap,1
B48F0237,1,Het Zeeuwse Landschap,1
B48F0238,1,Het Zeeuwse Landschap,1
B48F0239,1,Het Zeeuwse Landschap,1
B48F0239,2,Het Zeeuwse Landschap,1
B49A0279,1,Het Zeeuwse Landschap,1
B49A0279,2,Het Zeeuwse Landschap,1
B49A0280,1,Het Zeeuwse Landschap,1
B49A0280,2,Het Zeeuwse Landschap,1
B49A0282,1,Het Zeeuwse Landschap,1
B49A0282,2,Het Zeeuwse Landschap,1
B49A0283,1,Het Zeeuwse Landschap,1
B49A0283,2,Het Zeeuwse Landschap,1
B49A0284,1,Het Zeeuwse Landschap,1
B49A0285,1,Het Zeeuwse Landschap,1
B49A0285,2,Het Zeeuwse Landschap,1
B49A0286,1,Het Zeeuwse Landschap,1
